SessionID,Movie,Room,DateTime,TicketPrice,AvailableSeats
201,Deadpool & Wolverine,Room A,2025-05-10T14:00:00,12.50,A1;A2;A3;A4;A5
202,Dune: Part Two,Room B,2025-05-10T17:30:00,15.00,B1;B2;B3;B4;B5;B6
203,Furiosa: A Mad Max Saga,Room C,2025-05-11T13:15:00,10.00,C1;C2;C3;C4
204,Joker: Folie à Deux,Room A,2025-05-11T19:45:00,14.00,A6;A7;A8
205,Alien: Romulus,Room D,2025-05-12T16:20:00,11.75,D1;D2;D3;D4;D5;D6;D7
206,The Substance,Room B,2025-05-12T20:00:00,13.25,B7;B8;B9;B10
207,The Wild Robot,Room C,2025-05-13T10:30:00,9.50,C5;C6;C7;C8
208,Nosferatu,Room D,2025-05-13T21:00:00,12.00,D8;D9;D10
209,The Brutalist,Room A,2025-05-14T15:45:00,11.00,A9;A10
210,Ghostlight,Room B,2025-05-14T18:10:00,10.50,B11;B12;B13
